Columbia Pictures Corporation,USA,Rob Reiner,Adventure,R,Wil Wheaton,Stephen King
Paramount Pictures,USA,John Hughes,Comedy,PG-13,Matthew Broderick,John Hughes
Paramount Pictures,USA,Tony Scott,Action,PG,Tom Cruise,Jim Cash
Twentieth Century Fox Film Corporation,USA,James Cameron,Action,R,Sigourney Weaver,James Cameron
Walt Disney Pictures,USA,Randal Kleiser,Adventure,PG,Joey Cramer,Mark H. Baker
Hemdale,UK,Oliver Stone,Drama,R,Charlie Sheen,Oliver Stone
Henson Associates (HA),UK,Jim Henson,Adventure,PG,David Bowie,Dennis Lee
De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,R,Isabella Rossellini,David Lynch
Paramount Pictures,USA,Howard Deutch,Comedy,PG-13,Molly Ringwald,John Hughes
SLM Production Group,USA,David Cronenberg,Drama,R,Jeff Goldblum,George Langelaan
Rimfire Films,Australia,Peter Faiman,Adventure,PG-13,Paul Hogan,Ken Shadie
Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,R,Christopher Lambert,Gregory Widen
Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,PG-13,Corey Haim,David Seltzer
Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,PG-13,Kurt Russell,Gary Goldman
De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,R,William Petersen,Thomas Harris
Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,R,Mickey Rourke,Elizabeth McNeill
De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,R,Emilio Estevez,Stephen King
Geffen Company The,USA,Frank Oz,Comedy,PG-13,Rick Moranis,Howard Ashman
New Century Entertainment Corporation,USA,Mike Marvin,Action,PG-13,Charlie Sheen,Mike Marvin
Universal Pictures,USA,Willard Huyck,Action,PG,Lea Thompson,Steve Gerber
New Line Cinema,USA,Stephen Herek,Action,PG-13,Dee Wallace,Domonic Muir
Orion Pictures,USA,Alan Metter,Comedy,PG-13,Rodney Dangerfield,Rodney Dangerfield
Cannon Films,USA,Tobe Hooper,Comedy,UNRATED,Dennis Hopper,L.M. Kit Carson
Jay Weston Productions,USA,Clint Eastwood,Action,R,Clint Eastwood,James Carabatsos
Paramount Pictures,USA,Leonard Nimoy,Adventure,PG,William Shatner,Gene Roddenberry
Paramount Pictures,USA,Michael Ritchie,Action,PG-13,Eddie Murphy,Dennis Feldman
Hemdale,USA,Tim Hunter,Crime,R,Crispin Glover,Neal Jimenez
L.A. Films,USA,John Landis,Comedy,PG,Steve Martin,Steve Martin
Warner Bros.,USA,George P. Cosmatos,Action,R,Sylvester Stallone,Paula Gosling
Warner Bros.,UK,Roland Joffé,Adventure,PG,Robert De Niro,Robert Bolt
Touchstone Pictures,USA,Martin Scorsese,Drama,R,Paul Newman,Walter Tevis
HBO Films,USA,Robert Harmon,Thriller,R,Rutger Hauer,Eric Red
Amblin Entertainment,USA,Richard Benjamin,Comedy,PG,Tom Hanks,David Giler
Paramount Pictures,USA,Tom McLoughlin,Horror,R,Thom Mathews,Tom McLoughlin
The Saul Zaentz Company,USA,Peter Weir,Adventure,PG,Harrison Ford,Paul Theroux
Initial Pictures,UK,Alex Cox,Biography,R,Gary Oldman,Alex Cox
De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,PG-13,Brian Kerwin,Ronald Shusett
Empire Pictures,USA,Stuart Gordon,Horror,R,Jeffrey Combs,H.P. Lovecraft
TriStar Pictures,USA,Francis Ford Coppola,Comedy,PG-13,Kathleen Turner,Jerry Leichtling
Freddie Fields Productions,USA,Brian Gibson,Horror,PG-13,JoBeth Williams,Mark Victor
Empire Pictures,USA,John Carl Buechler,Comedy,PG-13,Michael Moriarty,Ed Naha
Maljack Productions,USA,John McNaughton,Biography,UNRATED,Michael Rooker,Richard Fire
ABC Motion Pictures,USA,Harry Winer,Adventure,PG,Kate Capshaw,Clifford Green
Orion Pictures,USA,Woody Allen,Comedy,PG-13,Mia Farrow,Woody Allen
Walt Disney Pictures,USA,Ron Clements,Animation,G,Vincent Price,Peter Young
De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,R,Arnold Schwarzenegger,Luciano Vincenzoni
Sunbow Productions,USA,Nelson Shin,Animation,PG,Orson Welles,Ron Friedman
TriStar Pictures,USA,Fred Dekker,Comedy,R,Jason Lively,Fred Dekker
Cannon Pictures,USA,Tobe Hooper,Horror,PG,Karen Black,Richard Blake
De Haven Productions,UK,David Anspaugh,Drama,PG,Gene Hackman,Angelo Pizzo
Cinema '85,USA,James Foley,Crime,R,Sean Penn,Elliott Lewitt
Paramount Pictures,USA,Mike Nichols,Comedy,R,Meryl Streep,Nora Ephron
Warner Bros.,USA,Michael Chapman,Adventure,R,Daryl Hannah,Jean M. Auel
