Company,Budget,Director,Profit,Star,Month,Writer,Gross
Columbia Pictures Corporation,8000000,Rob Reiner,44287414,Wil Wheaton,8,Stephen King,52287414
Paramount Pictures,6000000,John Hughes,64136369,Matthew Broderick,6,John Hughes,70136369
Paramount Pictures,15000000,Tony Scott,164800601,Tom Cruise,5,Jim Cash,179800601
Twentieth Century Fox Film Corporation,18500000,James Cameron,66660248,Sigourney Weaver,7,James Cameron,85160248
Walt Disney Pictures,9000000,Randal Kleiser,9564613,Joey Cramer,8,Mark H. Baker,18564613
Hemdale,6000000,Oliver Stone,132530565,Charlie Sheen,2,Oliver Stone,138530565
Henson Associates (HA),25000000,Jim Henson,-12270083,David Bowie,6,Dennis Lee,12729917
De Laurentiis Entertainment Group (DEG),6000000,David Lynch,2551228,Isabella Rossellini,10,David Lynch,8551228
Paramount Pictures,9000000,Howard Deutch,31471663,Molly Ringwald,2,John Hughes,40471663
SLM Production Group,15000000,David Cronenberg,25456565,Jeff Goldblum,8,George Langelaan,40456565
Rimfire Films,8800000,Peter Faiman,165835000,Paul Hogan,9,Ken Shadie,174635000
Thorn EMI Screen Entertainment,16000000,Russell Mulcahy,-10100000,Christopher Lambert,3,Gregory Widen,5900000
Twentieth Century Fox Film Corporation,6000000,David Seltzer,2200000,Corey Haim,3,David Seltzer,8200000
Twentieth Century Fox Film Corporation,25000000,John Carpenter,-13900000,Kurt Russell,7,Gary Goldman,11100000
De Laurentiis Entertainment Group (DEG),15000000,Michael Mann,-6379071,William Petersen,8,Thomas Harris,8620929
Producers Sales Organization (PSO),17000000,Adrian Lyne,-10265156,Mickey Rourke,2,Elizabeth McNeill,6734844
De Laurentiis Entertainment Group (DEG),10000000,Stephen King,-2566337,Emilio Estevez,7,Stephen King,7433663
Geffen Company The,25000000,Frank Oz,13747385,Rick Moranis,12,Howard Ashman,38747385
New Century Entertainment Corporation,2700000,Mike Marvin,800000,Charlie Sheen,11,Mike Marvin,3500000
Universal Pictures,35000000,Willard Huyck,-18704226,Lea Thompson,8,Steve Gerber,16295774
New Line Cinema,2000000,Stephen Herek,11167232,Dee Wallace,4,Domonic Muir,13167232
Orion Pictures,11000000,Alan Metter,80258000,Rodney Dangerfield,6,Rodney Dangerfield,91258000
